ITEM,ANO,MES,FECHA DE LA ACTIVIDAD,TITULO DE LA ACTIVIDAD,DEFINICION DE LA ACTIVIDAD,HORA DE LA ACTIVIDAD,LUGAR DE LA ACTIVIDAD  (PARQUE),DIRECCION DEL PARQUE
1,2024,ENERO,09/01/2024,DANZAS PERUANAS,DIRIGIDO AL PÚBLICO EN GENERAL,4:00 A 6:00 PM,PARQUE METROPOLITANO MIGUEL BAQUERO,"Cruce de Jr. Coronel Miguel Baquero y Jr. Pacasmayo
2,2024,ENERO,10/01/2024,DANZAS PERUANAS,DIRIGIDO AL PÚBLICO EN GENERAL,4:00 A 6:00 PM,PARQUE METROPOLITANO LOS SOLDADOS DEL PERU,Cdra. 32 de la Av. Morales Duárez
3,2024,ENERO,10/01/2024,CANTO,DIRIGIDO AL PÚBLICO EN GENERAL,3:00 A 5:00 PM,PARQUE METROPOLITANO LOS SOLDADOS DEL PERU,Cdra. 32 de la Av. Morales Duárez
4,2024,ENERO,11/01/2024,DANZAS PERUANAS,DIRIGIDO AL PÚBLICO EN GENERAL,4:00 A 6:00 PM,PARQUE METROPOLITANO MIGUEL BAQUERO,"Cruce de Jr. Coronel Miguel Baquero y Jr. Pacasmayo
5,2024,ENERO,11/01/2024,CAPAÑA DE DIBUJO Y PINTURA,DIRIGIDO AL PÚBLICO EN GENERAL,3:00 A 5:00 PM,PARQUE METROPOLITANO ALAMEDA LAS MALVINAS,"Cdra. 1 de la Av. Argentina
6,2024,ENERO,12/01/2024,CAMPAÑA CUIDADO Y ESTÉTICA PERSONAL,DIRIGIDO AL PÚBLICO EN GENERAL,10:00 A 12:00 M,PARQUE METROPOLITANO LOS SOLDADOS DEL PERU,"Cdra. 1 de la Av. Argentina
7,2024,ENERO,12/01/2024,SESIÓN DE CANTO,DIRIGIDO AL PÚBLICO EN GENERAL,3:00 A 5:00 PM,PARQUE METROPOLITANO LOS SOLDADOS DEL PERU,Cdra. 32 de la Av. Morales Duárez
8,2024,ENERO,13/07/2024,APRENDIENDO UN DEPORTE: BADMINTON,DIRIGIDO AL PÚBLICO EN GENERAL,10:30 AM - 12:00 PM,CLUBMET CAHUIDE,Av. Los Parques 251 - Fundo Valdiviezo
9,2024,ENERO,15/01/2024,SENSIBILIZACIÓN DE CUIDADO Y ESTÉTICA PERSONAL,DIRIGIDO AL PÚBLICO EN GENERAL,10:00 A 12:00 M,PARQUE METROPOLITANO LOS SOLDADOS DEL PERU,Cdra. 32 de la Av. Morales Duárez
10,2024,ENERO,15/01/2024,ACTIVACIÓN DANZAS PERUANAS,DIRIGIDO AL PÚBLICO EN GENERAL,4:00 A 6:00 PM,PARQUE METROPOLITANO LOS SOLDADOS DEL PERU,Cdra. 32 de la Av. Morales Duárez
11,2024,ENERO,15/01/2024,CAMPAÑA LIGA DE LUCHA CONTRA EL CANCER,DIRIGIDO AL PÚBLICO EN GENERAL,9:00 AM a 2:30 PM,PARQUE METROPOLITANO ALAMEDA LAS MALVINAS,"Cdra. 1 de la Av. Argentina
12,2024,ENERO,16/01/2024,CAMPAÑA LIGA DE LUCHA CONTRA EL CANCER,DIRIGIDO AL PÚBLICO EN GENERAL,9:00 AM a 2:30 PM,PARQUE METROPOLITANO ALAMEDA LAS MALVINAS,Cdra. 1 de la Av. Argentina
13,2024,ENERO,16/01/2024,ACTIVACIÓN DE DANZAS PERUANAS,DIRIGIDO AL PÚBLICO EN GENERAL,4:00 A 6:00 PM,PARQUE METROPOLITANO MIGUEL BAQUERO,Cercado de Lima
14,2024,ENERO,17/01/2024,CAMPAÑA LIGA DE LUCHA CONTRA EL CANCER,DIRIGIDO AL PÚBLICO EN GENERAL,9:00 AM a 2:30 PM,PARQUE METROPOLITANO ALAMEDA LAS MALVINAS,Cdra. 1 de la Av. Argentina
15,2024,ENERO,17/01/2024,SESIÓN CANTO,DIRIGIDO AL PÚBLICO EN GENERAL,3:00 A 5:00 PM,PARQUE METROPOLITANO LOS SOLDADOS DEL PERU,Cercado de Lima
16,2024,ENERO,17/01/2024,ACTIVACIÓN DE DANZAS PERUANAS,DIRIGIDO AL PÚBLICO EN GENERAL,4:00 A 6:00 PM,PARQUE METROPOLITANO LOS SOLDADOS DEL PERU,Cdra. 32 de la Av. Morales Duárez
17,2024,ENERO,18/01/2024,CAMPAÑA LIGA DE LUCHA CONTRA EL CANCER,DIRIGIDO AL PÚBLICO EN GENERAL,9:00 AM a 2:30 PM,PARQUE METROPOLITANO ALAMEDA LAS MALVINAS,"Cdra. 1 de la Av. Argentina
18,2024,ENERO,18/01/2024,ACTIVACIÓN DE DANZAS PERUANAS,DIRIGIDO AL PÚBLICO EN GENERAL,4:00 A 6:00 PM,PARQUE METROPOLITANO MIGUEL BAQUERO,"Cruce de Jr. Coronel Miguel Baquero y Jr. Pacasmayo
19,2024,ENERO,19/01/2024,SESIÓN DE CANTO,DIRIGIDO AL PÚBLICO EN GENERAL,3:00 A 5:00 PM,PARQUE METROPOLITANO LOS SOLDADOS DEL PERU,Cdra. 32 de la Av. Morales Duárez
20,2024,ENERO,19/01/2024,SENSIBILIZACIÓN DE CUIDADO Y ESTÉTICA PERSONAL,DIRIGIDO AL PÚBLICO EN GENERAL,10:00 A 12:00 M,PARQUE METROPOLITANO LOS SOLDADOS DEL PERU,Cdra. 32 de la Av. Morales Duárez
21,2024,ENERO,20/01/2024,MASTER CLASS,GYM,11:00 AM A 1:00 PM,PARQUE METROPOLITANO LA MURALLA,Cruce de Jr. Amazonas y Av. Abancay
22,2024,ENERO,21/01/2024,ACTIVACIÓN DE DIBUJO Y PINTURA,DIRIGIDO AL PÚBLICO EN GENERAL,3:00 A 5:00 PM,PARQUE METROPOLITANO ALAMEDA LAS MALVINAS,"Cdra. 1 de la Av. Argentina
23,2024,ENERO,22/01/2024,ACTIVACIÓN DE DANZAS PERUANAS,DIRIGIDO AL PÚBLICO EN GENERAL,4:00 A 6:00 PM,PARQUE METROPOLITANO LOS SOLDADOS DEL PERU,Cdra. 32 de la Av. Morales Duárez
24,2024,ENERO,22/01/2024,SENSIBILIZACIÓN DE CUIDADO Y ESTÉTICA PERSONAL,DIRIGIDO AL PÚBLICO EN GENERAL,10:00 A 12:00 M,PARQUE METROPOLITANO LOS SOLDADOS DEL PERU,Cdra. 32 de la Av. Morales Duárez
